연도,농지면적,경지면적,작물재배면적
2011,53992,59030,58417
2012,53937,61377,54755
2013,53884,62856,56831
2014,53604,62686,60607
2015,53388,62642,58048
2016,53046,62140,63689
2017,52731,61088,60180
2018,52616,59338,61714
2019,52419,59039,60051
2020,52240,58654,60516
2021,52035,56355,61410
2022,51896,55957,60952
