시군,읍면동,농지면적
제주도,계,52035
제주시,소계,26253
제주시,제주동,4824
제주시,구좌읍,4496
제주시,애월읍,5236
제주시,조천읍,3578
제주시,한림읍,3442
제주시,한경면,4136
제주시,추자면,147
제주시,우도면,394
서귀포시,소계,25782
서귀포시,서귀포동,6239
서귀포시,남원읍,5430
서귀포시,대정읍,4482
서귀포시,성산읍,3437
서귀포시,안덕면,2635
서귀포시,표선면,3559
