연도,계,식량작물,채소류,과실류,특용작물,사료작물,기타
2011,58417,14281,14940,21033,1850,5014,1299
2012,54755,13850,12404,21050,1824,4269,1358
2013,56831,13511,14518,21040,1605,4955,1202
2014,60607,13127,19132,21050,1831,4277,1190
2015,58048,12653,17723,21032,1141,4355,1144
2016,63689,15430,18802,21008,1558,5717,1174
2017,60180,11615,20292,20655,1487,4916,1215
2018,61714,11985,21462,20606,1305,5181,1175
2019,60051,13632,18845,20596,865,5002,1111
2020,60516,13247,20499,20585,929,4150,1106
2021,61410,13989,20426,20527,1037,4431,1000
2022,60952,14902,19632,20422,985,4094,917
