시군,읍면동,가구수,남,여,전체
제주도,계,311355,352303,347448,699751
제주시,소계,222599,254567,253027,507594
제주시,제주동,167600,192854,196100,388954
제주시,구좌읍,7994,8305,7731,16036
제주시,애월읍,17491,19862,18876,38738
제주시,조천읍,11882,13504,12826,26330
제주시,한림읍,10689,12991,11094,24085
제주시,한경면,5102,5033,4875,9908
제주시,추자면,939,1127,723,1850
제주시,우도면,902,891,802,1693
서귀포시,소계,88756,97736,94421,192157
서귀포시,서귀포동,48058,53351,53013,106364
서귀포시,남원읍,8816,10064,9076,19140
서귀포시,대정읍,10893,11748,12272,24020
서귀포시,성산읍,8236,9171,7595,16766
서귀포시,안덕면,6458,6718,6205,12923
서귀포시,표선면,6295,6684,6260,12944
