permit_no,well_id,well_si,well_eup,well_ri,well_bunji,well_bunji_check,tank_count,tank_si,tank_eup,tank_ri,tank_bunji,coord_x,coord_y,install_date,elevation_m,drill_depth_m,casing_diameter_mm,discharge_diameter_mm,capacity_m3d,permit_m3m,natural_water_level_m,stable_water_level_m,voltage_v,motor_hp,pump_depth_m,water_management,watershed,is_active,source_file
Y199341028,D-193,서귀포시,대정읍,인성리,511 - 3,,,,,,,,,,,,,,1100,33000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341029,D-195,서귀포시,대정읍,무릉리,267 - 1,,,,,,,,,,,,,,1150,34500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341030,D-196,서귀포시,대정읍,신도리,1959 - 3,,,,,,,,,,,,,,1150,34500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341031,D-197,서귀포시,대정읍,신평리,704 - 5,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341032,D-198,서귀포시,안덕면,사계리,1060 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341033,D-199,서귀포시,대정읍,하모리,2121 - 41,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341034,D-206,서귀포시,대정읍,일과리,869 - 1,,,,,,,,,,,,,,1100,33000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341035,D-207,서귀포시,대정읍,신도리,1845 - 1,,,,,,,,,,,,,,1100,33000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341036,D-208,서귀포시,대정읍,상모리,2869 - 5,,,,,,,,,,,,,,1350,40500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341037,D-209,서귀포시,대정읍,무릉리,3058 - 4,,,,,,,,,,,,,,1350,40500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341038,D-210,서귀포시,대정읍,보성리,1043 - 2,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341039,D-223,서귀포시,표선면,토산리,214 - 1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341040,D-225,서귀포시,대정읍,영락리,2097 - 1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341041,D-234,서귀포시,대정읍,구억리,215 - 1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341042,D-235,서귀포시,대정읍,신도리,2277-1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341043,D-236,서귀포시,대정읍,보성리,1484 - 1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341044,D-237,서귀포시,남원읍,신흥리,1919,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341045,D-246,서귀포시,안덕면,덕수리,2709 - 1,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341046,D-247,서귀포시,남원읍,태흥리,1999 - 1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341047,F-061,서귀포시,대정읍,신도리,991-6,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341048,F-064,서귀포시,안덕면,상창리,2672-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341049,F-062,서귀포시,대정읍,영락리,1184 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341051,D-259,서귀포시,표선면,하천리,1577 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341052,F-063,서귀포시,남원읍,위미리,2616,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341053,D-256,서귀포시,남원읍,의귀리,592,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341054,F-051,서귀포시,표선면,토산리,663 - 1,,,,,,,,,,,,,,750,22500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341055,F-065,서귀포시,안덕면,사계리,1246-1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341057,W-003,서귀포시,대정읍,보성리,1295 - 4,,,,,,,,,,,,,,1100,33000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341058,D-073,서귀포시,대정읍,신도리,7 - 1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341059,D-056,서귀포시,대정읍,무릉리,3414 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341060,D-059,서귀포시,대정읍,구억리,858 - 4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341061,U-048,서귀포시,대정읍,상모리,2184-4,,,,,,,,,,,,,,2000,60000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341062,90무릉2,제주시,한경면,낙천리,938 - 4,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341064,W-007,서귀포시,남원읍,위미리,6 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341065,W-026,서귀포시,남원읍,태흥리,2003 - 1,,,,,,,,,,,,,,1700,51000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341066,D-005,서귀포시,남원읍,의귀리,2004 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341070,D-061,서귀포시,남원읍,신흥리,1805 - 2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341071,D-070,서귀포시,남원읍,수망리,326 - 4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341073,D-097,서귀포시,남원읍,위미리,3581 - 18,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341075,F-007,서귀포시,남원읍,신례리,918 - 1,,,,,,,,,,,,,,1350,40500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341084,W-020,서귀포시,성산읍,수산리,1994 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341087,D-069,서귀포시,성산읍,수산리,3531-5,,,,,,,,,,,,,,650,19500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341093,D-004,서귀포시,안덕면,덕수리,2102 - 4,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341094,U-036,서귀포시,대정읍,상모리,2262-21,,,,,,,,,,,,,,1500,45000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341095,D-049,서귀포시,안덕면,상창리,2488 - 1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
Y199341097,90사계,서귀포시,안덕면,사계리,3578 - 30,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
