permit_no,well_id,well_si,well_eup,well_ri,well_bunji,well_bunji_check,tank_count,tank_si,tank_eup,tank_ri,tank_bunji,coord_x,coord_y,install_date,elevation_m,drill_depth_m,casing_diameter_mm,discharge_diameter_mm,capacity_m3d,permit_m3m,natural_water_level_m,stable_water_level_m,voltage_v,motor_hp,pump_depth_m,water_management,watershed,is_active,source_file
D199720019,F-224,서귀포시,도순동,,579,,,,,,,,,,,,,,950,28500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720020,F-223,서귀포시,도순동,,455 - 1,,,,,,,,,,,,,,750,22500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720021,F-225,서귀포시,강정동,,3201 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720024,F-221,서귀포시,신효동,,1444 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720026,F-231,서귀포시,서홍동,,2422 - 9,,,,,,,,,,,,,,550,16500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720027,F-230,서귀포시,동홍동,,880 - 4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720028,F-227,서귀포시,토평동,,1747 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720029,F-229,서귀포시,상효동,,579 - 5,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199720030,F-228,서귀포시,보목동,,1003,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740086,F-289,서귀포시,대정읍,영락리,1747 - 5,,,,,,,,,,,,,,1200,36000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740087,F-277,서귀포시,남원읍,한남리,402 - 3,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740088,F-281,서귀포시,남원읍,남원리,2169 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740089,F-276,서귀포시,남원읍,신례리,2153 - 3,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740090,F-287,서귀포시,대정읍,안성리,100 - 4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740091,F-278,서귀포시,남원읍,신흥리,495 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740092,F-280,서귀포시,남원읍,위미리,2246 - 11,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740093,F-279,서귀포시,남원읍,하례리,636 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740094,F-290,서귀포시,대정읍,신평리,829 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740095,F-293,서귀포시,대정읍,영락리,70 - 2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740096,F-288,서귀포시,대정읍,상모리,1001 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740103,F-269,서귀포시,표선면,가시리,2717-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740122,F-272,서귀포시,성산읍,삼달리,2142 - 1,,,,,,,,,,,,,,750,22500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740125,F-291,서귀포시,대정읍,신평리,1163 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740127,F-294,서귀포시,대정읍,동일리,1339-2,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740128,F-295,서귀포시,대정읍,보성리,True,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740129,F-273,서귀포시,성산읍,신산리,1931-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740130,F-275,서귀포시,성산읍,난산리,2012 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740131,F-274,서귀포시,성산읍,온평리,2817 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740143,F-348,서귀포시,남원읍,하례리,1465 - 6,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740144,F-284,서귀포시,남원읍,수망리,989 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740145,F-283,서귀포시,남원읍,한남리,937 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740146,F-282,서귀포시,남원읍,남원리,1851 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740147,F-285,서귀포시,남원읍,의귀리,1266 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740148,F-286,서귀포시,남원읍,태흥리,1681 - 6,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740161,F-297,서귀포시,안덕면,서광리,1717 - 2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740162,F-339,서귀포시,표선면,가시리,2907,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740163,F-271,서귀포시,표선면,성읍리,1210 - 4,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740190,F-292,서귀포시,대정읍,무릉리,465 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740205,F-198,서귀포시,대정읍,상모리,579-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740206,F-197,서귀포시,안덕면,사계리,3339-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740207,F-195,서귀포시,대정읍,상모리,1060-7,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740208,F-192,서귀포시,대정읍,동일리,1481,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740209,F-191,서귀포시,대정읍,무릉리,4097-41,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740210,F-194,서귀포시,대정읍,보성리,716-5,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740211,F-181,서귀포시,남원읍,신흥리,1421 - 9,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740212,F-180,서귀포시,남원읍,신흥리,2481-4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740213,F-187,서귀포시,남원읍,위미리,3682-1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740214,F-188,서귀포시,남원읍,위미리,4591,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740215,F-175,서귀포시,성산읍,신풍리,1420-2,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740216,F-170,서귀포시,성산읍,수산리,1448-2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740217,F-171,서귀포시,성산읍,수산리,1645,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740218,F-173,서귀포시,성산읍,삼달리,908,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740219,F-174,서귀포시,성산읍,삼달리,839,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740220,F-179,서귀포시,표선면,세화리,2489-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740221,F-176,서귀포시,표선면,표선리,2663 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740222,F-177,서귀포시,표선면,하천리,1108,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740223,F-201,서귀포시,안덕면,상창리,16,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199740224,F-200,서귀포시,안덕면,화순리,2048,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199820003,F-306,서귀포시,하원동,,34 - 3,,,,,,,,,,,,,,550,16500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199820010,F-303,서귀포시,토평동,,3064,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199820011,F-305,서귀포시,하원동,,1175 - 1,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199820012,F-304,서귀포시,상예동,,2485 - 1,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199820019,F-308,서귀포시,색달동,,52,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199820025,F-307,서귀포시,색달동,,1115 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840018,F-333,서귀포시,성산읍,수산리,3653 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840019,F-349,서귀포시,안덕면,동광리,71 - 4,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840020,R-006,서귀포시,표선면,성읍리,1306-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840023,S-007,서귀포시,대정읍,상모리,1978-9,,,,,,,,,,,,,,1200,36000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840025,F-336,서귀포시,성산읍,삼달리,1406 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840026,F-337,서귀포시,표선면,토산리,1500 - 5,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840027,F-338,서귀포시,표선면,세화리,1797,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840053,F-335,서귀포시,성산읍,난산리,769 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840054,F-334,서귀포시,성산읍,수산리,1428,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840058,F-386,서귀포시,남원읍,하례리,1887 - 46,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840059,F-341,서귀포시,남원읍,하례리,1089,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840060,F-342,서귀포시,남원읍,신례리,510 - 6,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840061,F-343,서귀포시,남원읍,위미리,3961,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840062,F-344,서귀포시,남원읍,위미리,1136 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840063,F-345,서귀포시,남원읍,위미리,251 - 1,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840064,F-346,서귀포시,남원읍,남원리,439 - 3,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840065,F-347,서귀포시,남원읍,태흥리,1486 - 26,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840115,R-007,서귀포시,안덕면,덕수리,1216 - 7,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840116,F-356,서귀포시,대정읍,영락리,331,,,,,,,,,,,,,,750,22500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840117,F-354,서귀포시,대정읍,인성리,622 - 109,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840118,F-355,서귀포시,대정읍,구억리,243-1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840119,F-351,서귀포시,안덕면,서광리,2043 - 1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840120,F-352,서귀포시,안덕면,사계리,354 - 1,,,,,,,,,,,,,,650,19500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840121,F-350,서귀포시,안덕면,화순리,1548 - 4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199840136,F-340,서귀포시,표선면,하천리,2272 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199920008,F-364,서귀포시,강정동,,3794 - 1,,,,,,,,,,,,,,750,22500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199920009,F-365,서귀포시,대포동,,974 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199920027,S-011,서귀포시,도순동,,764 - 1,,,,,,,,,,,,,,750,22500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199920028,S-010,서귀포시,토평동,,1194 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940023,F-391,서귀포시,성산읍,시흥리,2153 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940024,F-395,서귀포시,표선면,가시리,421 - 1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940025,F-394,서귀포시,표선면,표선리,2637 - 7,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940036,F-392,서귀포시,성산읍,신풍리,1619,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940037,R-010,서귀포시,안덕면,동광리,846 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940040,F-384,서귀포시,대정읍,하모리,1803 - 7,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940041,F-383,서귀포시,대정읍,상모리,2707-1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940042,F-382,서귀포시,대정읍,무릉리,1652 - 1,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940050,F-387,서귀포시,남원읍,의귀리,1104-7,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940051,F-388,서귀포시,남원읍,한남리,45 - 6,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940052,F-389,서귀포시,남원읍,의귀리,593 - 4,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940053,R-011,서귀포시,표선면,성읍리,2089,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940058,F-390,서귀포시,남원읍,위미리,1369 - 5,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940059,F-393,서귀포시,성산읍,수산리,2123 - 1,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940065,F-353,서귀포시,대정읍,안성리,568,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940073,F-385,서귀포시,대정읍,일과리,1769 - 3,,,,,,,,,,,,,,1050,31500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940098,F-396,서귀포시,표선면,성읍리,84,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940112,S-015,서귀포시,대정읍,무릉리,886 - 4,,,,,,,,,,,,,,1300,39000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D199940113,S-014,서귀포시,대정읍,동일리,1213 - 3,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200020009,F-404,서귀포시,상예동,,3541 - 2,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200020010,F-405,서귀포시,중문동,,1195 - 6,,,,,,,,,,,,,,614,18420,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200020031,S-017,서귀포시,상효동,,504 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200020032,F-406,서귀포시,하예동,,1379 - 4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040024,R-015,서귀포시,표선면,하천리,2112 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040035,R-014,서귀포시,표선면,가시리,산52-2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040037,F-428,서귀포시,대정읍,무릉리,2167 - 6,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040038,F-427,서귀포시,대정읍,신도리,2025 - 4,,,,,,,,,,,,,,1000,30000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040039,F-425,서귀포시,남원읍,하례리,377 - 4,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040040,F-424,서귀포시,남원읍,신례리,2067 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040041,F-431,서귀포시,성산읍,난산리,2442 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040042,F-430,서귀포시,성산읍,고성리,2733,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040091,F-432,서귀포시,안덕면,동광리,686 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
D200040092,F-426,서귀포시,안덕면,사계리,2370 - 8,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200040109,F-429,서귀포시,대정읍,영락리,806 - 4,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200040110,S-019,서귀포시,남원읍,남원리,305 - 41,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200120019,F-441,서귀포시,하원동,,145 - 9,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200120020,F-440,서귀포시,색달동,,1739 - 5,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200120021,F-468,서귀포시,하효동,,822 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140097,F-462,서귀포시,대정읍,안성리,26-1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140127,F-461,서귀포시,대정읍,상모리,2366-73,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140128,F-459,서귀포시,남원읍,신례리,662-8,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140129,F-467,서귀포시,안덕면,동광리,233,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140141,F-464,서귀포시,대정읍,무릉리,3607-1,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140142,F-465,서귀포시,대정읍,신도리,811,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140143,F-460,서귀포시,대정읍,보성리,174-4,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140156,F-463,서귀포시,대정읍,상모리,2982-1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140157,F-466,서귀포시,성산읍,시흥리,2483-10,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140158,R-019,서귀포시,안덕면,화순리,2045-1,,,,,,,,,,,,,,850,25500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200140159,R-018,서귀포시,안덕면,상창리,300-1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200220011,F-472,서귀포시,신효동,,산1-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200220012,F-474,서귀포시,월평동,,274 - 3,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200220013,F-473,서귀포시,신효동,,1216 - 4,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200220014,F-475,서귀포시,회수동,,704-2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200240015,F-492,서귀포시,대정읍,영락리,1920-4,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200240034,F-493,서귀포시,대정읍,신도리,1137 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200240035,R-022,서귀포시,안덕면,상천리,680 - 1,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200240046,R-023,서귀포시,표선면,세화리,1409,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200240051,F-491,서귀포시,안덕면,사계리,1604 - 1,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200240052,F-490,서귀포시,표선면,토산리,산 9-4,,,,,,,,,,,,,,900,27000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200320014,F-496,서귀포시,동홍동,,2028,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200320016,F-499,서귀포시,중문동,,390 - 2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200320017,F-497,서귀포시,강정동,,3921-12,,,,,,,,,,,,,,550,16500,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200320018,F-498,서귀포시,도순동,,30 - 3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200320019,F-403-1,서귀포시,상예동,,2664 - 1,,,,,,,,,,,,,,500,15000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200320020,F-500,서귀포시,서호동,,1267 - 2,,,,,,,,,,,,,,600,18000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340023,F-520,서귀포시,대정읍,무릉리,2693,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340024,F-516,서귀포시,남원읍,위미리,2236-2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340028,F-518,서귀포시,안덕면,덕수리,2580-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340029,F-514,서귀포시,표선면,표선리,2845-3,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340031,F-515,서귀포시,남원읍,위미리,3776-2,,,,,,,,,,,,,,700,21000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
W200340032,R-026,서귀포시,표선면,토산리,1626 - 1,,,,,,,,,,,,,,800,24000,,,,,,,,true,2017년 서귀포시 월별 지하수이용량 보고.xlsx
