eup_dong,법정리명,area_km2,lon,lat,parent_grid_row,parent_grid_col
구좌읍,덕천리,21.4406269633553,126.7468998545084,33.4851101519248,1.0,3.0
구좌읍,동복리,7.583883145470756,126.71907855786054,33.53617537104498,1.0,3.0
구좌읍,상도리,9.534200376576065,126.8569022575998,33.4893023944003,1.0,3.0
구좌읍,세화리,29.190467880312063,126.82092273346076,33.434768041187695,1.0,3.0
구좌읍,송당리,39.180071658830215,126.7691896550705,33.45647148665491,1.0,3.0
구좌읍,월정리,6.97400735193726,126.78039814900971,33.54517918498098,1.0,3.0
구좌읍,종달리,17.246280861201964,126.86732217493082,33.47942178703067,1.0,3.0
구좌읍,평대리,8.67822766212089,126.82744836866468,33.510313422515296,1.0,3.0
구좌읍,하도리,7.835783501292528,126.88363607468092,33.51680911786139,1.0,3.0
구좌읍,한동리,16.026892577696866,126.81101188996794,33.51932285488959,1.0,3.0
구좌읍,행원리,13.824744716412493,126.7943712837618,33.533633558253925,1.0,3.0
남원읍,남원리,8.391058987143564,126.70471038778832,33.28793248048893,3.0,2.0
남원읍,수망리,30.47095481078809,126.6865580127737,33.35936676675081,3.0,2.0
남원읍,신례리,28.718852789469977,126.61841161132442,33.332576122874585,3.0,2.0
남원읍,위미리,27.242496470937496,126.65703988613052,33.30237414308312,3.0,2.0
남원읍,의귀리,8.858475761419369,126.72034885865152,33.310320915591674,3.0,2.0
남원읍,태흥리,7.714692829752563,126.74155427801853,33.2923770646956,3.0,2.0
남원읍,하례리,25.63967297256186,126.59579814984188,33.32514410870282,3.0,2.0
남원읍,한남리,31.985014398296936,126.66394852627236,33.339451630432094,3.0,2.0
대정읍,구억리,4.175086691785497,126.2895546185312,33.284345035231006,2.0,0.0
대정읍,동일리,6.499651011115326,126.2475474934934,33.2472061108225,2.0,0.0
대정읍,무릉리,12.256755127612871,126.22124090366864,33.27453372237021,2.0,0.0
대정읍,보성리,7.647963675437905,126.27185184284696,33.26779533259279,2.0,0.0
대정읍,상모리,11.781391157276296,126.276029768598,33.2190655194721,2.0,0.0
대정읍,신도리,8.951430297676676,126.1916197084208,33.28320036173921,2.0,0.0
대정읍,신평리,6.020166319750246,126.25745128134798,33.2728362543975,2.0,0.0
대정읍,안성리,5.035737306852302,126.28676211521422,33.262108164332965,2.0,0.0
대정읍,영락리,6.36371611454716,126.21314081288573,33.257041254579924,2.0,0.0
대정읍,인성리,1.7636465468955584,126.27863610571292,33.242527752035095,2.0,0.0
대정읍,일과리,3.9631193190287193,126.23121009573528,33.24552219464538,2.0,0.0
대정읍,하모리,3.591723277514637,126.2572094265436,33.21960799040252,2.0,0.0
서귀포시 동지역,강정동,15.918957579351584,126.49118976447946,33.25255370195605,3.0,1.0
서귀포시 동지역,대포동,8.611274089314804,126.44860687764094,33.27306872136818,3.0,1.0
서귀포시 동지역,도순동,14.80487650929593,126.48235254351066,33.29816089978285,3.0,1.0
서귀포시 동지역,동홍동,14.45333454433637,126.55150623469773,33.29581311880708,3.0,1.0
서귀포시 동지역,법환동,2.589948338507355,126.5127613946058,33.24115616679643,3.0,1.0
서귀포시 동지역,보목동,3.774068357220962,126.60008729133006,33.24529224343018,3.0,1.0
서귀포시 동지역,상예동,14.878851245127674,126.38569999856934,33.26999945831329,3.0,1.0
서귀포시 동지역,상효동,30.225802566010923,126.57189247489708,33.32036999502132,3.0,1.0
서귀포시 동지역,색달동,20.18881230417498,126.41891077424478,33.292789505493595,3.0,1.0
서귀포시 동지역,서귀동,1.6817227462801905,126.56376896231964,33.24663487743439,3.0,1.0
서귀포시 동지역,서호동,11.05241743658472,126.51802910406523,33.285233076542625,3.0,1.0
서귀포시 동지역,서홍동,15.002338216370491,126.54134497726416,33.28558499770236,3.0,1.0
서귀포시 동지역,신효동,4.225047852455584,126.60865062975437,33.26513729089361,3.0,1.0
서귀포시 동지역,영남동,17.735984018824627,126.50366777428192,33.3151014736228,3.0,1.0
서귀포시 동지역,중문동,25.94465898728616,126.44266014394462,33.30647065946133,3.0,1.0
서귀포시 동지역,토평동,15.922806476258565,126.57317839743884,33.28726334908275,3.0,1.0
서귀포시 동지역,하예동,2.5406523568425787,126.37976369834824,33.23966205265408,3.0,1.0
서귀포시 동지역,하원동,18.135517228392036,126.47073482776004,33.30578684458968,3.0,1.0
서귀포시 동지역,하효동,2.447580330433576,126.6171583103616,33.25422088085239,3.0,1.0
서귀포시 동지역,호근동,8.73790467076094,126.53236173621526,33.26636951224281,3.0,1.0
서귀포시 동지역,회수동,3.9788182555223113,126.44435142480611,33.273008365647804,3.0,1.0
성산읍,난산리,15.775732977783242,126.85058891696218,33.409102257598335,2.0,3.0
성산읍,삼달리,12.082747608007349,126.83567625499808,33.38533792254879,2.0,3.0
성산읍,성산리,1.3978837621888551,126.93592082852447,33.46343577332592,2.0,3.0
성산읍,시흥리,8.093626431262765,126.88280521081596,33.469507392279375,2.0,3.0
성산읍,신산리,7.63204730975663,126.8681231618293,33.38570609000891,2.0,3.0
성산읍,신천리,3.750825038004699,126.8526736178766,33.35047869293106,2.0,3.0
성산읍,신풍리,8.19590258975902,126.83235226497074,33.369756933750395,2.0,3.0
성산읍,오조리,7.421413153349233,126.9075566445376,33.46123983002656,2.0,3.0
성산읍,온평리,10.533288572523205,126.89385579195688,33.411049550663044,2.0,3.0
안덕면,감산리,4.831163110197973,126.35220066467964,33.24867435667894,3.0,0.0
안덕면,광평리,10.55005033819253,126.3808781330433,33.33719365898264,3.0,0.0
안덕면,덕수리,9.962292972910808,126.31423012371252,33.26603488913952,3.0,0.0
안덕면,동광리,15.717799836900728,126.3444457339721,33.31582586727965,3.0,0.0
안덕면,사계리,8.271262406365077,126.3029091876442,33.23790894879831,3.0,0.0
안덕면,상창리,13.195792969701408,126.35814977071416,33.28449846396185,3.0,0.0
안덕면,상천리,16.926217598038576,126.39973622913368,33.31777457246662,3.0,0.0
안덕면,서광리,17.726313503390177,126.31235829171511,33.30057739972353,3.0,0.0
안덕면,창천리,3.880687705295181,126.36628228154342,33.25216913618999,3.0,0.0
안덕면,화순리,5.448526973949346,126.33435529724764,33.252700547208875,3.0,0.0
애월읍,고내리,2.664308462570069,126.34249437197988,33.46434742548916,0.0,1.0
애월읍,고성리,22.095608157826607,126.63081990259504,33.42715067388118,0.0,1.0
애월읍,곽지리,4.210169995133799,126.31462844440873,33.44362589897735,0.0,1.0
애월읍,광령리,38.57654695013174,126.46390047333074,33.40074512409163,0.0,1.0
애월읍,구엄리,1.963684688294729,126.38126203211306,33.479226495566856,0.0,1.0
애월읍,금성리,1.840712248427472,126.30455820792982,33.43489817513428,0.0,1.0
애월읍,납읍리,7.994101870037192,126.34174882308052,33.428444859781,0.0,1.0
애월읍,봉성리,32.35673154727835,126.36399881409136,33.37427964185062,0.0,1.0
애월읍,상가리,14.223556979586148,126.3760731955996,33.410079969608866,0.0,1.0
애월읍,상귀리,3.1734426238262183,126.40683491768164,33.46412575195226,0.0,1.0
애월읍,소길리,13.50061823270139,126.39005403095854,33.41011836021064,0.0,1.0
애월읍,수산리,29.96761444561802,126.79392261395532,33.44356598783587,0.0,1.0
애월읍,신엄리,5.509098080906759,126.36731345671532,33.46552474931924,0.0,1.0
애월읍,애월리,3.814571372130438,126.32257033076684,33.45908469340521,0.0,1.0
