eup_dong,area_km2,lon,lat,grid_row,grid_col
한림읍,90.84254647417848,126.28493067744084,33.3762202326546,0.0,0.0
애월읍,202.4249589835591,126.39390292810069,33.41115228529592,0.0,1.0
제주시 동지역,255.58912217880948,126.53888989898662,33.45257954682511,0.0,2.0
조천읍,150.98044150034454,126.6673240635954,33.472258173905466,0.0,3.0
한경면,79.3087062170479,126.22302316485798,33.322604118108174,1.0,0.0
구좌읍,187.79995408999488,126.7956914468368,33.49847797272825,1.0,3.0
대정읍,78.05060354639359,126.24673298189836,33.257666599220165,2.0,0.0
성산읍,108.89812602509409,126.86545753549896,33.41812490091508,2.0,3.0
안덕면,106.45238175714582,126.34780548860516,33.292586197839,3.0,0.0
서귀포시 동지역,254.060840525522,126.498800370757,33.29050637116914,3.0,1.0
남원읍,188.7660074523092,126.66619475681946,33.328162384033966,3.0,2.0
표선면,136.28704680227983,126.76868673109352,33.374560306858,3.0,3.0
한라산국립공원,,,,,
