timestamp,file,action,permit_before,well_id_before,permit_after,well_id_after,year,reason,source_sheet
2026-05-04T13:00,master_yearly/master_2018.csv,제주시 추가,,,,,2018,~470공,제주시 1.사후관리현황
2026-05-04T13:00,master_yearly/master_2019.csv,제주시 추가,,,,,2019,~470공,제주시 1.사후관리현황
2026-05-04T13:00,master_yearly/master_2020.csv,제주시 추가,,,,,2020,~470공,제주시 1.사후관리현황
2026-05-04T13:00,master_yearly/master_2021.csv,제주시 추가,,,,,2021,~470공,제주시 1.사후관리현황
2026-05-04T13:00,master_yearly/master_2022.csv,제주시 추가,,,,,2022,~470공,제주시 1.사후관리현황
2026-05-04T13:00,master_yearly/master_2023.csv,제주시 추가,,,,,2023,~470공,제주시 1.사후관리현황
2026-05-04T13:00,master_yearly/master_2024.csv,제주시 추가,,,,,2024,~470공,제주시 1.사후관리현황
2026-05-04T13:00,usage/usage_montly_2018.csv,분기→월 변환,,,,,2018,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2019.csv,분기→월 변환,,,,,2019,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2020.csv,분기→월 변환,,,,,2020,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2021.csv,분기→월 변환,,,,,2021,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2022.csv,분기→월 변환,,,,,2022,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2023.csv,분기→월 변환,,,,,2023,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2024.csv,분기→월 변환,,,,,2024,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,usage/usage_montly_2025.csv,분기→월 변환,,,,,2025,조사일자 기반 일수 가중. 외삽/역행 remark,제주시 5.이용량조사
2026-05-04T13:00,water_quality_semiannual.csv,제주시 5항목 추가,,,,,2022-2025,제주시 7번/6-1번,제주시DB
2026-05-04T13:00,water_quality_agricultural.csv,regular.csv 통합 + 제주시 6-2,,,,,2018-2025,"296건 추가, 350행 NO3 매칭",제주시+서귀포DB
2026-05-04T13:00,water_quality_regular.csv → _deprecated,폐기,,,,,2025,agricultural에 통합,
2026-05-05T03:00,usage_montly_2018.csv,오타 자동보정 (옵션A),"388,274",F-563,"38,827",F-563,2018,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"996,132",D-033,"99,613",D-033,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"295,718",D-052,"29,571",D-052,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"467,539",F-112,"46,753",F-112,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"149,141",F-126,"14,914",F-126,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"512,070",F-236,"51,207",F-236,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"605,811",F-309,"60,581",F-309,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2022.csv,오타 자동보정 (옵션A),"625,002",F-359,"62,500",F-359,2022,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"414,878",D-014,"41,487",D-014,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"525,816",D-151,"52,581",D-151,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"711,720",D-179,"71,172",D-179,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"392,828",D-299,"39,282",D-299,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
2026-05-05T03:00,usage_montly_2023.csv,오타 자동보정 (옵션A),"381,305",F-009,"38,130",F-009,2023,①②③ 또는 ①②④ 충족,제주시 5.이용량조사
