permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199510018,F-084,2016,11294,11781,11482,11283,11759,12152,11321,15395,17637,13398,8872,7724,1000,30000,,사후관리DB(원본월별·5년이용량분석)
D199510019,F-085,2016,3307,4722,3430,3831,4244,3991,4496,8403,5487,3738,3738,3508,750,15120,,사후관리DB(원본월별·5년이용량분석)
D199510020,F-087,2016,435,1821,3259,3292,2995,3442,2484,3039,3135,2044,2432,2339,750,6390,,사후관리DB(원본월별·5년이용량분석)
D199510021,F-086,2016,13949,14842,13057,15630,14676,16000,12206,11198,12616,8650,6299,6252,700,16920,,사후관리DB(원본월별·5년이용량분석)
D199510022,D-288,2016,72,109,664,3022,2064,5945,4391,5856,4480,844,2,2,800,18210,,사후관리DB(원본월별·5년이용량분석)
D199510023,D-287,2016,3424,7623,6460,8449,7919,10679,6960,11864,21859,9640,4274,5450,800,23670,,사후관리DB(원본월별·5년이용량분석)
D199530039,96조천1,2016,2624,3645,3993,4774,4557,4541,4818,5480,5462,3451,2488,2491,800,18240,,사후관리DB(원본월별·5년이용량분석)
D199530042,D-294,2016,124,110,110,131,132,72,56,71,53,0,25,11,800,16800,,사후관리DB(원본월별·5년이용량분석)
D199530043,F-080,2016,4824,7264,7093,6585,6109,6975,6872,7704,11678,7964,7291,6743,700,19950,,사후관리DB(원본월별·5년이용량분석)
D199530045,F-089,2016,3419,6200,4841,6359,2968,3711,4131,7648,13647,8692,7013,5933,650,22800,,사후관리DB(원본월별·5년이용량분석)
D199530046,F-090,2016,782,1810,1574,1107,675,777,1024,1531,3345,2470,1544,1367,800,22800,,사후관리DB(원본월별·5년이용량분석)
D199530047,F-091,2016,1009,838,1819,3226,3181,3889,2925,9365,6136,3902,2027,1641,700,13680,,사후관리DB(원본월별·5년이용량분석)
D199530048,F-092,2016,9069,5960,70,1707,11785,12733,12167,16553,10560,4772,84,1035,1000,20460,,사후관리DB(원본월별·5년이용량분석)
D199530049,F-093,2016,3491,5169,4690,4268,3912,4641,4453,6123,7507,5822,4288,3941,1000,19410,,사후관리DB(원본월별·5년이용량분석)
D199530050,F-094,2016,3704,5961,4883,4694,4293,4458,3379,10217,14590,4562,3620,3582,700,16260,,사후관리DB(원본월별·5년이용량분석)
D199530051,F-095,2016,1670,2050,3010,4584,3266,3248,2349,5156,6606,2690,2374,2175,800,15840,,사후관리DB(원본월별·5년이용량분석)
D199530052,F-096,2016,2702,3138,3475,5407,4946,7368,12953,8346,9504,4752,3303,2783,650,19000,,사후관리DB(원본월별·5년이용량분석)
D199530053,D-300,2016,784,960,574,560,424,493,392,764,1475,1038,660,596,800,16000,,사후관리DB(원본월별·5년이용량분석)
D199530054,D-301,2016,7624,10022,7423,11661,8414,10844,8446,18366,17949,0,0,0,600,17040,,사후관리DB(원본월별·5년이용량분석)
D199530055,D-303,2016,4160,5336,13629,21230,18819,21582,21266,16722,23423,5880,5252,4934,600,17100,,사후관리DB(원본월별·5년이용량분석)
D199530056,D-304,2016,0,0,0,0,0,0,0,0,0,0,0,0,900,13500,,사후관리DB(원본월별·5년이용량분석)
D199530057,D-305,2016,2387,4343,5336,7050,7258,9960,6643,15685,21274,6110,3921,2926,900,21000,,사후관리DB(원본월별·5년이용량분석)
D199530058,D-302,2016,6080,6629,5655,7744,6789,7915,8274,11297,11528,9249,8933,8025,700,14880,,사후관리DB(원본월별·5년이용량분석)
D199530059,D-298,2016,3539,2121,2925,3269,3021,3818,3160,5700,5345,5866,1738,430,700,10380,,사후관리DB(원본월별·5년이용량분석)
D199530060,D-299,2016,0,0,0,1570,5127,0,50,77,3715,794,126,978,900,16680,,사후관리DB(원본월별·5년이용량분석)
D199530061,96조천2,2016,389,496,556,6264,571,6515,1448,15444,16142,21205,419,613,800,17280,,사후관리DB(원본월별·5년이용량분석)
D199610004,F-105,2016,17767,15617,15994,15470,13877,17379,15166,19690,22181,20887,20975,22751,800,18000,,사후관리DB(원본월별·5년이용량분석)
D199610005,F-108,2016,22108,24177,23174,25765,25750,27608,22753,25922,24002,20177,20118,16818,1200,36000,,사후관리DB(원본월별·5년이용량분석)
D199610009,F-109,2016,3916,4327,4265,5515,4549,5050,4321,8361,10712,8552,4283,3426,300,9000,,사후관리DB(원본월별·5년이용량분석)
