permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199510018,F-084,2025,11252,9847,10631,11941,13491,13436,13452,13728,11178,12165,11977,12279,,,,제주시DB(분기→월 v5)
D199510019,F-085,2025,,,,,550,2338,2415,2562,1659,1763,1861,1675,,,,제주시DB(분기→월 v5)
D199510020,F-087,2025,5429,4680,5626,5847,6262,6293,6577,6827,4903,5407,5487,4861,,,,제주시DB(분기→월 v5)
D199510021,F-086,2025,19154,16718,20577,22366,23449,22393,22377,24053,19213,20737,22307,19746,,,,제주시DB(분기→월 v5)
D199510022,D-288,2025,15833,13658,16821,17979,19131,17658,18118,19317,14884,18536,18663,17093,,,,제주시DB(분기→월 v5)
D199510023,D-287,2025,13627,12459,16035,20228,20577,18890,18115,19510,10966,11852,13024,9866,,,,제주시DB(분기→월 v5)
D199520015,F-088,2025,7362.0,8931.0,14115.0,14394.0,13104.0,11825.0,12957.0,14955.0,12434.0,14766.0,11189.0,8145.0,500,15000,,
D199520016,D-291,2025,8118.0,8337.0,10255.0,11744.0,8822.0,10740.0,17392.0,14850.0,11085.0,12161.0,9658.0,8314.0,500,15000,,
D199520017,D-293,2025,8089.0,9932.0,9513.0,8845.0,8759.0,9053.0,16122.0,11814.0,8010.0,8246.0,7562.0,7340.0,700,21000,,
D199520018,D-292,2025,6742.0,8233.0,10415.0,11370.0,10065.0,10559.0,18452.0,13608.0,9977.0,10846.0,9588.0,8246.0,600,18000,,
D199520019,D-289,2025,3012.0,2953.0,4915.0,7266.0,5283.0,6242.0,13920.0,11557.0,4488.0,5015.0,4301.0,2976.0,500,15000,,
D199520020,D-290,2025,2274.0,1974.0,3590.0,4465.0,2728.0,3103.0,6270.0,4532.0,3006.0,3871.0,3815.0,2749.0,500,15000,,
D199530039,96조천1,2025,3047,2535,2808,1892,2230,2912,5092,5030,2149,2244,2136,2208,,,,제주시DB(분기→월 v5)
D199530042,D-294,2025,10280,8510,10330,11269,12274,11968,13066,13043,11208,12933,11132,12583,,,,제주시DB(분기→월 v5)
D199530043,F-080,2025,4744,3949,3919,2515,1092,195,3887,4854,4292,5026,4456,4764,,,,제주시DB(분기→월 v5)
D199530045,F-089,2025,352,293,277,,,,59,84,75,86,76,83,,,,제주시DB(분기→월 v5)
D199530046,F-090,2025,4616,3843,4370,3291,3506,3663,6412,7323,6476,7515,6643,7217,,,,제주시DB(분기→월 v5)
D199530047,F-091,2025,1003,830,1085,1693,1850,1822,1757,1616,1389,1602,1275,1517,,,,제주시DB(분기→월 v5)
D199530048,F-092,2025,10610,8783,10894,14853,16258,15800,16861,17253,14826,17108,13992,16385,,,,제주시DB(분기→월 v5)
