permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
W201620012,성읍,2026,0,0,0,2,,,,,,,,,800,19200,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199330418,W-014,2026,3779,3285,2324,2948,,,,,,,,,800,12000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199330419,D-032,2026,9678,11156,7770,9139,,,,,,,,,1300,20000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199330420,D-008,2026,8985,11404,9812,12908,,,,,,,,,800,13000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199330421,D-098,2026,13506,17157,12561,16394,,,,,,,,,1200,15000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199330422,D-010,2026,1,1,0,0,,,,,,,,,1100,24500,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199330423,D-045,2026,1900,0,0,4,,,,,,,,,1000,15000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199341110,D-055,2026,21056,9361,4667,4997,,,,,,,,,1500,20000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199341111,D-082,2026,26850,14095,3927,5524,,,,,,,,,1500,30000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199341112,D-160,2026,25009,927,159,3,,,,,,,,,2375,29700,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199341113,D-114,2026,4068,5946,2704,3013,,,,,,,,,1500,34000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199341114,D-113,2026,51524,25674,12166,27232,,,,,,,,,1500,22000,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
Y199341115,D-081,2026,4139,4173,256,75,,,,,,,,,1200,35300,원본 시트 헤더 오기재 보정 (2025→2026),농어촌공사DB
