permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D200020009,F-404,2017,4912.98,4995.93,5626.32,7999.87,7044.07,10421.91,10045.46,11920.05,11849.86,7128.29,4268.55,4613.1,600,18000,,
D200020010,F-405,2017,3413.85,4484.7,4433.55,9347.25,7794.6,10198.65,9733.35,11328.9,11295.9,8301.15,5577.0,5961.45,614,18420,,
D200020031,S-017,2017,1877.48,3440.8,5815.7,6859.16,7399.59,10763.72,8052.22,7861.48,8054.09,5170.55,3925.13,2993.87,700,21000,,
D200020032,F-406,2017,4419.56,4096.55,5373.32,9395.66,7496.89,13586.06,12038.67,12158.71,11648.0,11410.11,8431.0,8241.12,600,18000,,
D200030016,R-012,2017,401,585,769,711,1049,1542,681,1220,1341,2172,3225,718,700,12000,,사후관리DB(원본월별·5년이용량분석)
D200030017,R-013,2017,5700,8179,6864,8802,9595,11300,9442,11793,12069,15109,13186,13185,700,14500,,사후관리DB(원본월별·5년이용량분석)
D200030018,A-002,2017,0,0,0,0,0,0,0,0,0,0,0,0,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200030032,F-422,2017,4038,3902,3676,4123,4219,5530,5538,14082,5229,4031,3635,4951,800,16000,,사후관리DB(원본월별·5년이용량분석)
D200030033,F-409,2017,0,0,0,0,0,2,0,1304,5224,13,9,24,700,24000,,사후관리DB(원본월별·5년이용량분석)
D200030034,F-420,2017,2455,2830,4296,4790,7069,9489,6419,8198,8436,5762,6706,4539,800,12000,,사후관리DB(원본월별·5년이용량분석)
D200030035,F-421,2017,2822,5455,8666,8691,13822,15540,9489,13240,10333,5752,9168,6151,800,17500,,사후관리DB(원본월별·5년이용량분석)
D200030036,F-408,2017,10090,10858,11747,16375,15409,16581,14567,17787,17198,18133,13673,13063,750,24000,,사후관리DB(원본월별·5년이용량분석)
D200030037,F-407,2017,14227,15581,13676,16828,13720,19247,18216,26386,24277,14258,16673,0,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200030068,F-411,2017,18098,10722,10188,12322,,,,,,,,,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200030069,F-410,2017,6821,7226,6533,5626,6647,9215,8598,10973,6986,5145,6119,4824,600,18000,,사후관리DB(원본월별·5년이용량분석)
D200030070,F-414,2017,8478,13078,16471,20166,23135,17273,13621,20608,9870,8885,9385,6378,810,24300,,사후관리DB(원본월별·5년이용량분석)
D200030071,F-415,2017,1564,1980,2379,4077,5108,9402,9544,12552,7058,13070,27561,18304,750,22500,,사후관리DB(원본월별·5년이용량분석)
D200030072,F-416,2017,2983,3317,3737,4114,4157,7664,7200,6768,5919,3439,3504,2736,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200030073,F-423,2017,7696,7358,7519,3132,2224,3077,3150,5820,4957,4579,3703,10441,650,19600,,사후관리DB(원본월별·5년이용량분석)
D200030076,F-418,2017,0,0,0,4,53,0,0,0,46,7,0,0,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200030077,F-412,2017,7849,10758,10082,8997,12504,23558,16679,22692,13949,13693,16744,12677,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200030078,F-417,2017,2604,2160,3363,4527,1614,7774,4165,13571,7324,9233,13378,11291,800,21000,,사후관리DB(원본월별·5년이용량분석)
D200030079,F-419,2017,10471,2935,4980,3256,5832,7162,5462,7682,11851,7421,18997,6578,1000,30000,,사후관리DB(원본월별·5년이용량분석)
D200030080,F-413,2017,634,728,2021,2028,1992,3268,2481,3484,1239,1115,1283,606,800,24000,,사후관리DB(원본월별·5년이용량분석)
D200040024,R-015,2017,2071.91,1504.55,1690.05,2514.0,2238.15,3842.67,2969.34,2762.15,2415.22,2206.83,2875.38,2670.6,800,24000,,
D200040035,R-014,2017,5915.72,6252.15,7043.43,11798.83,10242.88,13858.57,15053.21,12895.64,11536.22,9334.02,8480.95,9463.61,700,21000,,
D200040037,F-428,2017,2566.37,1177.85,1340.64,5764.75,1230.52,5183.01,1436.4,6186.1,3490.45,14814.07,8393.36,11132.1,900,27000,,
D200040038,F-427,2017,2085.94,1073.2,737.64,5115.09,707.41,4241.41,2442.66,1977.11,3400.99,10940.6,9153.95,10088.08,1000,30000,,
D200040039,F-425,2017,2651.55,3646.49,5401.12,8251.17,7092.04,13081.3,11005.64,13630.24,9782.8,8025.72,7900.73,6805.32,850,25500,,
D200040040,F-424,2017,9258.58,10597.43,10829.18,17158.17,16683.34,27606.98,22550.09,22550.09,23016.1,20927.85,20188.53,17882.38,600,18000,,
D200040041,F-431,2017,14194.25,14943.17,15629.42,16861.31,17299.96,19476.4,15103.65,15103.65,17590.36,17072.23,16768.08,14771.99,600,18000,,
D200040042,F-430,2017,5685.68,5748.16,5600.48,7159.64,5716.92,9176.04,6103.16,7259.04,5609.0,5623.2,6705.24,7724.8,700,21000,,
D200040091,F-432,2017,13375.71,13654.09,15882.25,16485.03,18844.53,24284.17,19809.88,23981.09,21958.35,20111.83,21930.28,14018.9,700,21000,,
D200040092,F-426,2017,679.84,1442.82,5340.86,101.08,415.73,1780.29,430.4,596.69,5652.25,6775.53,10081.78,4038.25,800,24000,,
W200040109,F-429,2017,3164.29,551.51,666.3,4484.41,1649.53,6371.01,3269.1,3950.38,4604.2,12906.73,7761.0,8280.07,800,24000,,
W200040110,S-019,2017,2175.41,2894.83,4092.32,4234.03,5283.58,6350.26,5747.63,5325.62,5372.34,3394.7,3182.92,3173.57,800,24000,,
W200110005,F-434,2017,1145,1393,1824,2421,3596,6127,3584,5873,3234,2530,3341,1779,800,24240,,사후관리DB(원본월별·5년이용량분석)
W200110008,F-435,2017,5392,5478,4913,8825,7058,15299,13853,16859,12861,8946,6941,11458,650,19590,,사후관리DB(원본월별·5년이용량분석)
W200110009,F-437,2017,6514,6899,8320,9038,10347,12652,12277,15427,11915,11102,9129,8449,800,17800,,사후관리DB(원본월별·5년이용량분석)
W200110010,F-436,2017,2101,2190,1810,2132,2517,3150,2991,2804,2407,2495,2596,2374,450,12600,,사후관리DB(원본월별·5년이용량분석)
W200110011,F-438,2017,28732,29477,28110,32782,32315,37500,38698,36210,28906,24064,21216,16505,700,16000,,사후관리DB(원본월별·5년이용량분석)
W200110012,F-439,2017,13207,13336,11354,13828,15836,17093,15490,14923,11065,9198,9296,7227,800,18000,,사후관리DB(원본월별·5년이용량분석)
W200120019,F-441,2017,6044.46,6415.05,7868.89,9244.35,9681.11,13401.25,11246.95,16356.79,11520.82,7816.97,8382.02,7396.5,700,21000,,
W200120020,F-440,2017,339.69,317.58,556.77,1324.59,1089.42,2337.63,1720.56,2842.14,1913.52,1288.41,721.59,952.74,500,15000,,
W200120021,F-468,2017,4338.81,8380.8,9239.25,9518.61,12187.08,14424.87,11599.26,12649.77,11241.33,7807.53,8892.96,7071.3,800,24000,,
W200130021,F-448,2017,179,183,186,165,104,1072,3682,122,5768,846,165,172,600,12600,,사후관리DB(원본월별·5년이용량분석)
W200130030,F-445,2017,4755,5418,5537,5773,6192,8442,6484,7397,9463,8229,8782,7862,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200130031,F-447,2017,9935,9295,8989,11430,12967,16547,13924,19361,18556,11988,13122,11032,900,27000,,사후관리DB(원본월별·5년이용량분석)
W200130036,F-457,2017,28056,29319,27679,11588,9036,11590,13894,16606,30625,27582,26074,28931,900,27000,,사후관리DB(원본월별·5년이용량분석)
W200130037,F-449,2017,2993,4577,4170,5991,,,,,,,,,900,27000,,사후관리DB(원본월별·5년이용량분석)
W200130038,F-442,2017,22448,22621,26603,0,24298,28976,24318,23026,24707,25233,27046,25414,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200130045,F-458,2017,5295,5280,3610,5448,3890,4847,6023,5936,7023,10277,8191,9670,700,15000,,사후관리DB(원본월별·5년이용량분석)
W200130046,F-456,2017,5183,3835,3039,7989,4585,7034,9338,10560,13317,16568,11935,16383,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200130047,F-446,2017,7497,8273,11303,11515,12205,19853,17614,25472,18101,13261,13130,8884,800,24000,,사후관리DB(원본월별·5년이용량분석)
W200130048,F-443,2017,5045,5214,6523,8308,8185,12832,10105,13125,14749,10758,10064,12915,700,21000,,사후관리DB(원본월별·5년이용량분석)
W200130049,F-444,2017,6593,7670,4791,8259,8019,8824,7381,9525,10182,9983,10580,9568,700,21000,,사후관리DB(원본월별·5년이용량분석)
