permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark
Y199341103,D-006,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,18000,
Y199341104,D-020,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,850,25500,
Y199341106,D-158,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1505,45150,
Y199520081,D-274,2017,9862.34,658.67,1545.29,849.62,1555.65,3213.44,2109.24,1813.2,1309.95,956.19,1209.3,2168.44,600,18000,
Y199520082,F-067,2017,2860.2,2698.92,2646.0,5268.06,5100.48,6243.3,5552.82,6413.4,5928.3,4377.24,3711.96,3458.7,700,21000,
Y199520083,F-079,2017,2241.82,2326.24,5168.38,9263.42,9094.58,11347.12,10117.0,10106.28,8468.8,7202.5,5168.38,5420.3,700,21000,
Y199520085,D-275,2017,5086.76,5643.24,6403.96,9890.84,9796.12,12898.2,11586.92,13420.64,12389.08,7805.52,7697.48,7582.04,800,24000,
Y199540245,F-074,2017,3800.07,6007.4,8735.55,16129.39,15471.51,19552.91,15540.76,16986.35,11795.52,8106.53,7783.37,6711.44,600,18000,
Y199540246,D-283,2017,6553.5,11320.36,13845.31,27221.88,24729.87,28692.52,25889.01,27136.51,22805.45,15223.1,14712.42,11609.4,1000,30000,
Y199540248,F-075,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600,18000,
Y199540249,D-268,2017,2331.88,1416.2,1559.76,5172.04,1575.28,6254.56,2475.44,3429.92,5885.96,12532.4,10076.36,10662.24,600,18000,
Y199540250,D-269,2017,3021.76,2264.8,2398.56,3526.4,2055.04,4006.72,2884.96,3231.52,3979.36,6210.72,4958.24,8892.0,700,21000,
Y199540251,D-284,2017,8387.9,4754.5,6134.6,14962.8,6771.0,17290.1,9379.5,14245.0,15821.2,26987.8,5572.2,15140.4,1000,30000,
Y199540252,D-245,2017,4057.92,4822.56,7109.28,12202.56,13799.52,19189.44,20082.24,17009.28,11754.72,8700.48,7871.04,7629.12,500,15000,
Y199540253,F-073,2017,3305.76,4064.04,5048.1,11180.37,10443.39,14428.62,11433.84,11376.33,10302.81,8920.44,6739.32,5851.11,600,18000,
Y199540254,D-271,2017,2764.53,3923.0,8115.88,10380.16,14341.02,13745.33,7870.69,5007.43,8229.42,8530.56,6870.19,5589.95,800,24000,
Y199540255,F-076,2017,1025.67,1396.21,2553.67,2800.06,3430.36,4286.04,2024.6,2756.13,2494.46,1390.48,2133.47,1516.54,1000,30000,
Y199540256,F-077,2017,4222.8,4636.8,5638.68,5891.22,7017.3,9153.54,7116.66,8114.4,6489.45,5566.23,4251.78,2848.32,500,15000,
Y199540257,D-270,2017,20.47,20.47,17.06,7495.72,3567.04,7778.9,7316.61,5748.88,868.3,312.18,5.12,0.0,800,24000,
Y200240031,F-083,2017,3887.32,5146.46,8003.86,10027.59,6718.03,12424.98,8410.49,11040.24,8162.43,5757.19,4206.03,6284.71,600,18000,
