permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199520015,F-088,2022,8011.0,11162.0,13930.0,17612.0,17303.0,15062.0,14278.0,17594.0,12779.0,13421.0,12877.0,8113.0,500,15000,,
D199520016,D-291,2022,4790.0,6454.0,6449.0,7914.0,9529.0,12816.0,8851.0,10817.0,11520.0,9601.0,9699.0,8192.0,500,15000,,
D199520017,D-293,2022,6357.0,7883.0,7337.0,8648.0,7921.0,7389.0,6883.0,6829.0,5960.0,6540.0,7756.0,4162.0,700,21000,,
D199520018,D-292,2022,5415.0,8304.0,10736.0,10424.0,9906.0,11522.0,9949.0,11559.0,9233.0,10804.0,11029.0,6590.0,600,18000,,
D199520019,D-289,2022,2947.0,3695.0,2832.0,9191.0,8035.0,8968.0,7613.0,9291.0,7112.0,7274.0,8759.0,5480.0,500,15000,,
D199520020,D-290,2022,1441.0,1405.0,2375.0,2608.0,2390.0,3227.0,2302.0,2814.0,2233.0,2755.0,3703.0,930.0,500,15000,,
D199540104,D-306,2022,5888.0,5542.0,6839.0,8704.0,8363.0,10159.0,8882.0,9957.0,8853.0,7502.0,9226.0,5260.0,800,7890,,
D199540105,D-307,2022,3248.0,4795.0,6822.0,7971.0,9481.0,8426.0,7304.0,8552.0,6188.0,8368.0,6384.0,4857.0,800,9240,,
D199540106,D-308,2022,1652.0,2834.0,5251.0,6250.0,6460.0,6322.0,6386.0,4947.0,2836.0,3493.0,3557.0,1242.0,700,3960,,
D199540107,D-309,2022,5227.0,6022.0,5498.0,11050.0,13533.0,15474.0,10739.0,12458.0,14928.0,11661.0,12241.0,10290.0,900,4200,,
D199540109,F-102,2022,22096.0,23978.0,20866.0,24611.0,23991.0,24661.0,22185.0,21820.0,21660.0,19857.0,22248.0,19973.0,800,11910,,
D199540110,F-103,2022,75.0,34.0,27.0,4220.0,10006.0,10354.0,9142.0,9959.0,6019.0,7408.0,7929.0,7381.0,700,22800,,
D199540111,D-316,2022,10002.0,9949.0,11404.0,12542.0,10818.0,11271.0,11480.0,13020.0,11998.0,9778.0,11908.0,9994.0,700,600,,
D199540112,F-104,2022,5600.0,5331.0,5547.0,7789.0,8814.0,10311.0,7218.0,9497.0,9900.0,7893.0,9430.0,7260.0,800,13170,,
D199540113,D-313,2022,4253.0,4724.0,4350.0,4920.0,4406.0,4315.0,3777.0,4394.0,4333.0,4135.0,2085.0,1356.0,700,14850,,
