permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199520015,F-088,2023,9314.0,9885.0,11318.0,13698.0,11977.0,12564.0,9407.0,17123.0,13270.0,14512.0,10653.0,6985.0,500,15000,,
D199520016,D-291,2023,6815.0,7257.0,7055.0,10440.0,9855.0,8883.0,8574.0,7458.0,11491.0,10264.0,11440.0,6081.0,500,15000,,
D199520017,D-293,2023,19773.0,23589.0,23533.0,6147.0,6290.0,6038.0,5065.0,5697.0,6528.0,7453.0,8481.0,6419.0,700,21000,,
D199520018,D-292,2023,6998.0,7666.0,10290.0,12232.0,10574.0,11192.0,8670.0,11467.0,10251.0,10170.0,9197.0,6379.0,600,18000,,
D199520019,D-289,2023,3069.0,3745.0,7333.0,8248.0,7852.0,8491.0,6062.0,9751.0,5091.0,4646.0,3738.0,2581.0,500,15000,,
D199520020,D-290,2023,1349.0,1406.0,2253.0,2248.0,2173.0,2595.0,1712.0,2981.0,2708.0,3254.0,2919.0,1836.0,500,15000,,
D199540104,D-306,2023,5333.0,5041.0,5760.0,8050.0,7071.0,8244.0,7809.0,9037.0,9542.0,7993.0,8271.0,6361.0,800,7890,,
D199540105,D-307,2023,5565.0,6015.0,8084.0,12511.0,9570.0,13254.0,10028.0,14590.0,10367.0,8954.0,6941.0,4731.0,800,9240,,
D199540106,D-308,2023,1374.0,1622.0,4183.0,5873.0,5398.0,5848.0,2627.0,7060.0,5420.0,4348.0,4758.0,2744.0,700,3960,,
D199540107,D-309,2023,9781.0,10402.0,10653.0,14040.0,13239.0,16724.0,14516.0,15082.0,14899.0,12097.0,12305.0,10003.0,900,4200,,
D199540109,F-102,2023,21988.0,23420.0,21081.0,28049.0,23146.0,28090.0,20964.0,20702.0,22579.0,21674.0,19959.0,15906.0,800,11910,,
D199540110,F-103,2023,48.0,48.0,43.0,46.0,270.0,1844.0,14.0,0.0,642.0,0.0,0.0,0.0,700,22800,,
D199540111,D-316,2023,12842.0,12076.0,12745.0,17994.0,18076.0,21215.0,19449.0,21989.0,20414.0,18566.0,19318.0,18557.0,700,600,,
D199540112,F-104,2023,6176.0,6098.0,4179.0,7957.0,8529.0,7613.0,9683.0,10376.0,11374.0,9848.0,8853.0,7124.0,800,13170,,
D199540113,D-313,2023,1928.0,2520.0,2527.0,2745.0,4275.0,4505.0,4533.0,4574.0,4404.0,3921.0,4549.0,4237.0,700,14850,,
D199540114,F-098,2023,3327.0,3318.0,3161.0,3523.0,3400.0,3190.0,2902.0,2848.0,2550.0,4504.0,15492.0,2335.0,800,20910,,
D199540115,F-097,2023,818.0,258.0,0.0,491.0,218.0,9.0,2.0,0.0,104.0,8045.0,24794.0,737.0,800,19410,,
D199540116,D-315,2023,3393.0,3416.0,3764.0,4403.0,4452.0,3017.0,3090.0,2388.0,4343.0,10207.0,15287.0,2879.0,700,9540,,
D199540117,F-100,2023,21474.0,24404.0,24078.0,26912.0,25665.0,26789.0,27007.0,28310.0,28301.0,26382.0,26267.0,26423.0,1000,12030,,
D199540118,F-101,2023,5665.0,6791.0,5607.0,7900.0,7374.0,7964.0,6422.0,6885.0,8433.0,7253.0,11348.0,7380.0,800,7950,,
D199540119,F-099,2023,12.0,220.0,108.0,11381.0,4735.0,7297.0,7848.0,21632.0,8150.0,7161.0,4997.0,3838.0,800,10410,,
D199540120,D-312,2023,1804.0,936.0,2172.0,577.0,1082.0,533.0,21.0,198.0,1550.0,18766.0,7282.0,1500.0,700,19950,,
D199540121,D-314,2023,5069.0,5487.0,5830.0,12301.0,10109.0,8233.0,10312.0,7875.0,11698.0,9492.0,11500.0,7377.0,700,4380,,
D199540122,D-310,2023,19293.0,20378.0,22344.0,29450.0,26377.0,26288.0,25239.0,25266.0,27334.0,23442.0,25866.0,19373.0,950,22620,,
D199620028,F-115,2023,3482.0,5071.0,4644.0,5501.0,4931.0,5815.0,3944.0,5901.0,5337.0,5550.0,6297.0,4946.0,800,5400,,
D199620033,F-113,2023,15326.0,16002.0,15523.0,16888.0,16373.0,18691.0,16173.0,16375.0,16122.0,15956.0,16726.0,14972.0,500,6000,,
D199620034,F-114,2023,10994.0,11906.0,12867.0,15564.0,14035.0,15498.0,12867.0,15572.0,14909.0,12892.0,12420.0,11692.0,600,5700,,
D199620035,D-319,2023,4812.0,9939.0,5408.0,6710.0,6547.0,7847.0,8977.0,9235.0,8251.0,8751.0,7679.0,6647.0,600,5700,,
D199620043,F-116,2023,6875.0,7003.0,6626.0,9090.0,8629.0,8850.0,8815.0,8103.0,9850.0,8669.0,9097.0,6559.0,700,6300,,
D199620044,F-118,2023,2897.0,3978.0,5472.0,10798.0,9493.0,8116.0,8377.0,7048.0,10828.0,8892.0,10491.0,6658.0,900,5400,,
D199620045,D-263-1,2023,6549.0,7852.0,11163.0,14553.0,15713.0,15520.0,10825.0,15535.0,12126.0,12411.0,7957.0,5815.0,700,4500,,
D199640096,F-196,2023,1542.0,1947.0,1389.0,2154.0,2594.0,2470.0,2352.0,2595.0,3294.0,9090.0,18184.0,6232.0,600,9000,,
D199640098,F-182,2023,17837.0,15705.0,15201.0,20274.0,19096.0,15410.0,17269.0,18418.0,15834.0,12159.0,15579.0,18970.0,600,9000,,
D199640099,F-185,2023,7619.0,5615.0,8891.0,13637.0,11462.0,9578.0,7166.0,6983.0,7631.0,9740.0,11993.0,5578.0,800,15000,,
D199640100,F-172,2023,2956.0,4333.0,4414.0,5427.0,3905.0,4245.0,3936.0,8615.0,5504.0,6558.0,4253.0,3594.0,800,15000,,
D199640149,F-186,2023,16069.0,14587.0,15105.0,22692.0,18988.0,19713.0,7376.0,11700.0,3977.0,19194.0,22218.0,13945.0,700,8190,,
D199640150,F-184,2023,29184.0,29403.0,26985.0,29609.0,26947.0,28325.0,26473.0,27874.0,29285.0,27953.0,30475.0,30575.0,800,8250,,
D199640151,F-199,2023,1872.0,2819.0,4397.0,4159.0,3104.0,3748.0,2197.0,4991.0,3052.0,6245.0,3779.0,2526.0,600,17100,,
D199640152,F-183,2023,15073.0,17757.0,21403.0,26179.0,18580.0,23865.0,20933.0,20320.0,20898.0,17454.0,17215.0,13972.0,600,9630,,
D199640183,D-327,2023,3647.0,4751.0,7918.0,11389.0,8907.0,8314.0,6396.0,8014.0,8246.0,6478.0,6813.0,4508.0,700,21000,,
D199640225,F-202,2023,8485.0,12776.0,16805.0,20832.0,20649.0,21835.0,10737.0,20054.0,13956.0,18908.0,12331.0,7078.0,700,12990,,
D199640226,F-203,2023,1019.0,2305.0,2986.0,2256.0,2074.0,2265.0,1524.0,3030.0,2259.0,5846.0,4692.0,2269.0,600,12750,,
D199640227,F-190,2023,976.0,766.0,840.0,4701.0,1247.0,1021.0,595.0,1235.0,3560.0,9991.0,18746.0,287.0,900,25560,,
D199640228,F-189,2023,11682.0,13448.0,10442.0,14423.0,12263.0,10705.0,7692.0,24625.0,17054.0,11418.0,18853.0,5074.0,800,22800,,
D199720002,D-320,2023,13809.0,14547.0,18135.0,18909.0,18592.0,19135.0,18015.0,17889.0,19698.0,17949.0,20646.0,16043.0,600,5700,,
D199720003,F-117,2023,1497.0,2506.0,4138.0,5076.0,4379.0,4698.0,4168.0,6458.0,5749.0,6565.0,6092.0,2909.0,600,5700,,
D199720017,F-226,2023,4543.0,5268.0,7721.0,15911.0,13489.0,12095.0,9143.0,13494.0,11442.0,9845.0,10315.0,6123.0,600,5700,,
D199720018,F-222,2023,2587.0,2631.0,3735.0,6753.0,5418.0,5875.0,6096.0,5108.0,5792.0,5165.0,4743.0,3415.0,600,5700,,
D199720019,F-224,2023,6563.0,8373.0,11089.0,14393.0,13084.0,14439.0,11602.0,14960.0,14740.0,19437.0,17694.0,10176.0,950,5700,,
D199720020,F-223,2023,382.0,1776.0,10702.0,14183.0,10535.0,12836.0,8626.0,11195.0,10165.0,12848.0,16522.0,6080.0,750,5700,,
D199720021,F-225,2023,4089.0,6996.0,9298.0,11189.0,11003.0,10317.0,7635.0,11462.0,8794.0,9037.0,9256.0,5298.0,600,5700,,
D199720024,F-221,2023,2538.0,4319.0,5468.0,4573.0,4295.0,5086.0,3381.0,6864.0,3711.0,6674.0,5412.0,4022.0,800,6600,,
D199720026,F-231,2023,4727.0,6979.0,6888.0,7227.0,7021.0,7564.0,6414.0,9396.0,7788.0,8073.0,8796.0,4389.0,550,5700,,
D199720027,F-230,2023,5787.0,6609.0,11500.0,11526.0,10466.0,11961.0,8402.0,16173.0,12398.0,12851.0,8125.0,6190.0,600,5700,,
D199720028,F-227,2023,4436.0,4638.0,7689.0,18234.0,18588.0,12720.0,5596.0,11024.0,9305.0,8681.0,8637.0,4580.0,700,6000,,
D199720029,F-229,2023,3816.0,5016.0,8247.0,9813.0,8289.0,7783.0,3944.0,10609.0,6722.0,8343.0,5477.0,3298.0,600,5700,,
D199720030,F-228,2023,15321.0,15232.0,18069.0,29186.0,26775.0,29231.0,27041.0,28460.0,29462.0,28297.0,29435.0,22094.0,850,5700,,
D199740086,F-289,2023,3078.0,3168.0,1070.0,3159.0,2353.0,419.0,69.0,94.0,646.0,8358.0,13684.0,2565.0,1200,19950,,
D199740087,F-277,2023,1813.0,2445.0,2769.0,3905.0,3717.0,3201.0,2717.0,2922.0,3719.0,3197.0,3091.0,1920.0,700,11250,,
