permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199520015,F-088,2020,4358.32,12203.67,11958.11,11174.12,11032.24,10037.24,8005.42,12483.8,6164.59,8727.56,9633.42,7788.96,500,15000,,
D199520016,D-291,2020,6253.99,4095.58,5659.92,9002.28,10967.59,9858.59,8098.72,6733.78,8582.16,6930.36,9789.1,5822.84,500,15000,,
D199520017,D-293,2020,4008.17,5858.53,4388.05,5676.85,6218.99,7250.1,5755.34,5562.42,6373.74,6656.53,6019.28,4846.74,700,21000,,
D199520018,D-292,2020,5595.55,6466.12,7158.02,12062.42,8939.91,9930.99,6495.61,7631.4,8175.45,8901.8,7967.98,5534.88,600,18000,,
D199520019,D-289,2020,3896.71,3549.06,6025.49,7118.92,5490.82,5785.23,7609.44,14100.17,10235.26,5989.96,4583.82,4420.9,500,15000,,
D199520020,D-290,2020,1112.73,1718.98,2430.1,2777.99,2276.62,2509.4,2008.97,2100.82,1815.84,3181.35,2315.83,1482.48,500,15000,,
D199540104,D-306,2020,1653.94,1862.86,2011.7,23899.75,12652.73,13270.34,1827.99,2256.56,2404.58,2261.2,2412.19,2252.17,800,24000,,
D199540105,D-307,2020,3001.8,4373.79,4941.82,5798.41,5839.05,6730.12,6885.56,10900.95,5374.65,6743.35,4487.63,5273.26,800,24000,,
D199540106,D-308,2020,1724.31,1653.99,3806.07,7297.51,6447.35,5405.42,4041.92,6536.86,3255.32,5003.34,5036.49,2941.92,700,21000,,
D199540107,D-309,2020,3309.85,2643.73,3935.57,5406.82,5970.81,4747.22,5510.5,5012.65,5488.11,2877.28,4277.83,3302.77,900,27000,,
D199540109,F-102,2020,26267.58,26283.77,23938.99,21039.01,20130.37,20884.44,20456.26,20591.95,19419.27,17710.56,19984.44,20232.42,800,24000,,
D199540110,F-103,2020,3547.54,4701.53,7771.91,5075.51,4272.78,4999.66,3960.65,6284.21,1008.68,888.25,307.15,20.75,700,21000,,
D199540111,D-316,2020,6506.78,5686.1,8818.83,6678.36,5569.7,6069.71,7657.26,10009.03,6196.46,8335.62,7028.1,6799.9,700,21000,,
D199540112,F-104,2020,2389.53,2288.39,3009.04,5321.65,6639.02,5076.44,4619.54,4276.5,6159.38,3439.37,4830.02,3922.62,800,24000,,
D199540113,D-313,2020,3948.33,4265.57,4382.74,4169.43,4054.09,4046.97,4339.22,4339.22,4784.43,3174.79,3236.6,3621.09,700,21000,,
D199540114,F-098,2020,2784.65,2315.8,2312.25,3632.8,4526.66,3969.79,2555.55,2418.81,3619.33,3526.12,11818.36,8143.51,800,24000,,
D199540115,F-097,2020,0.0,0.0,0.0,86.14,1891.86,0.0,4.0,2.0,1086.0,3230.35,12382.21,6609.85,800,24000,,
D199540116,D-315,2020,1483.02,3361.05,3631.32,4293.39,7839.8,4903.3,3645.84,2866.87,5392.29,9318.81,8247.46,10521.72,700,21000,,
D199540117,F-100,2020,13071.97,15878.46,19289.03,16924.6,17684.7,16903.7,28520.25,32328.6,32092.27,32148.88,33234.93,32141.46,1000,30000,,
D199540118,F-101,2020,3641.82,4193.48,4932.01,10669.02,7036.77,6308.57,3557.3,4912.67,5348.59,6096.88,7508.08,8120.27,800,24000,,
D199540119,F-099,2020,0.0,0.0,0.0,0.0,0.44,6.67,0.77,0.0,0.0,0.45,0.63,0.49,800,24000,,
D199540120,D-312,2020,176.9,192.7,148.47,3514.32,2733.36,1373.08,22.24,841.83,2191.93,17714.14,9897.67,8733.99,700,21000,,
D199540121,D-314,2020,2340.84,3390.29,3886.51,8592.18,10740.98,6865.37,6374.07,5479.38,7498.73,3233.9,6296.4,6995.67,700,21000,,
D199540122,D-310,2020,18724.14,23355.26,24915.6,34379.28,32199.4,30939.95,26938.17,29879.44,30894.89,27271.5,28490.93,23956.95,950,28500,,
D199620028,F-115,2020,4543.39,4611.57,4747.2,6547.41,6018.09,6983.33,5280.88,6449.07,6549.45,6944.96,6943.49,5566.38,800,24000,,
D199620033,F-113,2020,6460.17,6315.97,6228.98,7024.8,5267.72,6405.62,9249.02,10842.03,11098.82,11754.51,11443.58,11047.84,500,15000,,
D199620034,F-114,2020,7504.59,7762.88,10263.38,12614.21,11675.27,12859.91,11074.98,12949.12,11122.24,10105.87,7996.34,8129.76,600,18000,,
D199620035,D-319,2020,1943.56,2077.94,4155.88,4592.76,3954.63,4624.86,2643.64,4458.78,5173.59,4642.49,3273.53,3189.63,600,18000,,
D199620043,F-116,2020,7222.62,7165.25,7381.67,10545.84,11918.43,11592.27,13533.89,11431.94,13658.66,10696.05,11131.48,9465.11,700,21000,,
D199620044,F-118,2020,2402.38,2529.94,3152.86,10062.15,11086.63,10033.7,8728.38,6737.25,8379.55,4974.24,8015.59,4245.32,900,27000,,
D199620045,D-263-1,2020,2867.88,3851.84,4761.4,5935.43,6453.73,6691.58,4106.82,4931.45,4547.37,3608.42,2946.39,2541.53,700,21000,,
