permit_no,well_id,year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,capacity_m3d,permit_m3m,remark,source
D199520015,F-088,2018,9142.14,11247.1,7855.87,12058.52,9600.61,10157.32,11647.36,15529.81,4877.63,3642.3,4786.66,4583.8,500,15000,,
D199520016,D-291,2018,7636.34,10532.49,10599.81,12908.29,13917.03,14072.23,9774.79,13241.49,9353.72,8810.55,8771.75,7792.75,500,15000,,
D199520017,D-293,2018,7875.19,8876.95,7289.04,7355.67,7051.87,5502.36,6714.18,14233.62,7357.93,5424.43,4203.57,4653.79,700,21000,,
D199520018,D-292,2018,4820.19,5583.86,8951.12,10758.98,7058.54,8166.84,7554.3,17960.63,6995.57,5850.63,6418.52,5912.34,600,18000,,
D199520019,D-289,2018,2539.98,3867.05,4047.79,6595.7,3373.95,5179.84,6537.04,12089.47,3516.65,3748.13,3446.89,3590.56,500,15000,,
D199520020,D-290,2018,1417.23,2174.45,2688.64,4098.19,3530.28,4029.12,4614.94,5392.63,2547.94,1949.33,1711.42,1513.16,500,15000,,
D199540104,D-306,2018,4518.95,5729.01,6622.0,7805.4,7310.85,7910.62,7264.55,15404.56,8208.75,5169.93,5266.73,6859.84,800,24000,,
D199540105,D-307,2018,1939.76,8911.21,6344.86,6499.53,4171.51,5019.07,7321.84,18359.05,4010.52,3903.19,3604.89,4634.09,800,24000,,
D199540106,D-308,2018,844.62,1681.21,2786.43,6853.14,2783.76,4264.51,6009.86,9952.29,2047.39,2191.72,1499.46,1232.54,700,21000,,
D199540107,D-309,2018,1521.98,1521.98,2061.46,1722.75,3974.88,3122.48,1584.79,4389.86,4157.69,2005.38,4556.98,4058.7,900,27000,,
D199540109,F-102,2018,20136.84,12043.95,8478.97,8530.37,7779.91,9237.43,8773.67,20994.67,6856.97,6071.09,5417.72,5853.12,800,24000,,
D199540110,F-103,2018,13.29,18.6,13.29,15.94,15.94,18.6,13.29,10948.16,470.35,435.8,380.0,889.45,700,21000,,
D199540111,D-316,2018,9811.59,10672.84,10403.79,11832.39,6407.51,8429.78,10938.97,22024.16,9807.2,9293.96,7917.99,8248.62,700,21000,,
D199540112,F-104,2018,2334.28,2334.28,11803.32,4469.32,4307.78,4033.16,4084.31,8717.87,9154.03,3553.92,2140.43,1678.51,800,24000,,
D199540113,D-313,2018,2408.44,2826.56,3292.71,2535.57,2397.14,3246.1,2497.43,3291.3,3230.56,2856.23,2614.67,3556.77,700,21000,,
D199540114,F-098,2018,1324.61,555.15,473.51,747.01,718.43,485.76,685.78,2365.52,2943.12,669.45,3110.48,1735.9,800,24000,,
D199540115,F-097,2018,652.35,151.32,151.32,0.0,0.0,1.68,0.0,558.19,1318.14,2426.12,7853.36,3926.68,800,24000,,
D199540116,D-315,2018,2997.65,2849.01,3677.17,3082.59,2856.09,2615.43,2438.47,5772.34,6243.05,12004.77,10231.66,6801.51,700,21000,,
D199540117,F-100,2018,7385.03,10285.22,16334.02,20833.92,19273.73,19113.75,19155.16,31807.95,24547.14,14730.54,18208.51,16753.09,1000,30000,,
D199540118,F-101,2018,7686.76,6482.34,8257.77,11033.24,7774.13,7922.34,7480.82,13649.58,9161.09,8373.22,7015.91,6375.31,800,24000,,
D199540119,F-099,2018,484.25,4021.33,1603.33,3611.83,1671.58,232.92,0.0,0.0,13.0,0.0,4.33,5.18,800,24000,,
D199540120,D-312,2018,1876.12,1178.1,669.59,379.01,44.22,44.22,208.46,369.54,915.95,11316.72,6323.21,4391.99,700,21000,,
D199540121,D-314,2018,2338.6,3674.51,5889.87,7444.88,5829.01,6388.94,8642.33,18512.55,16198.29,11196.99,12076.44,18327.6,700,21000,,
D199540122,D-310,2018,12913.92,12834.0,17229.66,22932.92,19050.09,18548.36,21751.86,31342.4,22235.83,14299.22,16601.39,15075.67,950,28500,,
D199620028,F-115,2018,4927.09,5368.49,4510.34,6246.07,5187.01,5843.5,5004.02,11471.16,5169.83,4525.28,4623.12,4371.72,800,24000,,
D199620033,F-113,2018,8404.23,10870.75,7473.2,6016.08,5329.69,6677.54,6337.91,11016.82,6577.79,6133.65,6639.54,5975.84,500,15000,,
D199620034,F-114,2018,8677.37,10949.16,12666.82,12203.55,13103.36,14908.32,14943.96,21891.19,13910.51,13327.86,12748.78,11535.58,600,18000,,
D199620035,D-319,2018,2316.92,2082.21,1831.96,4928.96,2800.15,3883.97,3855.49,8264.98,3276.48,2578.38,2346.26,2187.65,600,18000,,
D199620043,F-116,2018,4428.21,4885.38,5100.68,6036.29,4486.69,5339.9,6953.3,9629.9,6405.75,5129.92,4656.8,4576.99,700,21000,,
D199620044,F-118,2018,5533.86,8873.8,9083.39,10978.54,10528.17,9709.9,9415.6,13899.32,12893.77,5143.68,5638.66,4436.3,900,27000,,
D199620045,D-263-1,2018,2092.44,2596.37,2588.36,5326.22,4353.75,5561.16,5718.01,8200.24,4427.17,3359.92,2827.3,2917.4,700,21000,,
D199640096,F-196,2018,5709.29,1184.37,2245.32,1875.1,1534.02,1047.25,964.97,3105.75,2944.63,9075.56,13804.46,7394.14,600,18000,,
D199640098,F-182,2018,12907.79,13954.65,14389.05,15900.0,11979.63,10595.5,14399.84,28362.59,15198.49,9821.14,12853.82,12315.12,600,18000,,
D199640099,F-185,2018,4686.06,10216.01,4559.83,10211.76,7687.19,6155.42,4191.08,11888.19,7145.4,3249.33,5572.5,9054.45,800,24000,,
D199640100,F-172,2018,4799.44,5694.4,4380.47,5132.85,3772.87,4588.86,6082.65,14661.53,4082.15,2891.07,3998.8,2012.88,800,24000,,
D199640149,F-186,2018,9824.47,8986.22,12406.56,16783.57,12868.64,13251.78,12362.44,24355.68,10792.75,8059.74,8950.23,8237.01,700,21000,,
D199640150,F-184,2018,16209.58,19840.29,19418.61,24838.96,24379.63,20676.12,20369.9,32967.59,20726.32,15372.49,15612.2,11513.31,800,24000,,
D199640151,F-199,2018,2110.37,3191.95,1644.25,2884.22,2089.25,3139.15,4011.06,9593.95,2436.2,2030.42,1725.7,1804.21,600,18000,,
D199640152,F-183,2018,13385.96,13584.74,16664.82,23185.66,19027.66,19531.78,18884.21,32772.24,17384.12,8801.7,16439.4,13595.89,600,18000,,
D199640183,D-327,2018,1318.39,894.62,2537.38,3931.64,2113.62,2715.26,2541.31,8178.49,4027.12,5716.96,1719.93,1745.82,700,21000,,
D199640225,F-202,2018,4690.82,9442.77,8070.71,14736.76,11832.33,14939.17,21705.74,35499.72,12648.78,14277.59,16104.74,14625.04,700,21000,,
D199640226,F-203,2018,3205.53,6884.35,4076.83,5901.45,3342.68,5422.77,6000.95,6967.72,3733.95,3354.78,3728.58,3262.67,600,18000,,
D199640227,F-190,2018,7281.8,4472.15,5972.57,5070.66,5361.6,4706.98,4773.48,8564.01,8420.62,12360.76,16880.71,14579.5,900,27000,,
D199640228,F-189,2018,14867.68,15143.45,13947.57,16599.2,13921.05,2662.24,3897.89,11009.56,9604.2,13531.26,18190.17,13856.76,800,24000,,
D199720002,D-320,2018,4290.68,2921.04,15217.05,21898.83,20380.71,26780.89,22247.0,21128.25,19901.98,16294.84,17441.75,13763.55,600,18000,,
D199720003,F-117,2018,1839.24,1589.82,2605.84,3299.0,2543.11,3976.86,3505.57,8764.69,3297.47,2836.9,3194.95,2668.24,600,18000,,
D199720017,F-226,2018,4859.08,5511.08,6213.14,11085.38,8400.97,9557.46,7797.7,20101.48,7619.88,7364.35,6246.07,5637.06,600,18000,,
D199720018,F-222,2018,2380.46,2649.14,1941.03,4125.62,3967.43,4218.53,4577.61,8939.26,7088.64,3442.62,3746.46,2996.74,600,18000,,
D199720019,F-224,2018,6381.32,7885.37,14791.22,18958.5,17793.51,20972.58,20830.58,28701.46,17929.72,14637.63,13655.22,13371.36,950,28500,,
D199720020,F-223,2018,3192.71,4957.55,8612.89,10423.42,8638.59,10269.21,10674.73,22186.19,7856.12,6628.16,8353.02,6490.97,750,22500,,
D199720021,F-225,2018,2592.9,3532.77,8421.04,9403.41,7263.91,10508.58,10064.62,17791.38,5629.77,4855.2,5884.81,4173.37,600,18000,,
D199720024,F-221,2018,2054.05,4341.06,3539.89,5295.64,3656.37,4679.14,5352.46,8236.08,2826.8,2693.27,2869.42,2967.51,800,24000,,
D199720026,F-231,2018,9898.64,10844.68,10482.76,12758.57,11477.19,15390.84,10740.4,17768.21,10403.7,9081.42,9613.06,8833.33,550,16500,,
D199720027,F-230,2018,3906.12,6055.0,7615.37,11347.42,9084.57,11780.51,14843.24,19712.93,11301.83,5669.57,6645.58,5552.28,600,18000,,
D199720028,F-227,2018,1993.74,2533.81,3754.32,7634.73,6319.05,7099.42,8462.68,17955.53,7299.27,6825.81,4874.9,4381.4,700,21000,,
