연도,합계,경지없는농가,경지있는농가,0.1ha미만,0.1~0.5ha,0.5~1.0ha,1.0~1.5ha,1.5~2.0ha,2.0~3.0ha,3.0~5.0ha,5.0~10.0ha
2017,32200,309,31891,722,11760,9278,3775,2517,2032,1035,552
2018,31208,309,30899,725,11224,9213,3671,2418,2085,819,467
2019,31111,261,30850,56,11107,9868,3548,2524,2160,947,446
2020,30365,275,30090,260,12427,8440,3113,2278,1533,1207,576
2021,31549,330,31219,427,11728,9692,3113,2610,1519,1186,664
2022,30452,82,30370,28,11917,9495,3330,2380,1269,1100,539
2023,30357,274,30083,466,11764,8952,3231,2089,1120,1563,540
2024,29125,316,28809,373,11373,8856,2599,2159,1436,1182,704
