연도,제주시인구,서귀포시인구,도전체인구,제주시세대수,서귀포시세대수,도전체세대수,세대당인구
2017,492401,186371,678772,198454,79749,278203,2.44
2018,501791,190241,692032,204621,82483,287104,2.41
2019,505950,190707,696657,209439,83716,293155,2.376
2020,507358,190220,697578,216202,85831,302033,2.31
2021,506843,190633,697476,219978,87551,307529,2.268
2022,507594,192157,699751,222599,88756,311355,2.247
2023,508096,192612,700708,224433,88722,313155,2.238
2024,506324,192034,698358,225846,89016,314862,2.218
