연도,분류,작물명,재배면적_ha,생산량_t,출처
2018,식량작물,식량작물_합계,11984.0,22259.0,통계연보 6.농림수산업 5
2018,식량작물,미곡,81.0,191.0,통계연보 6.농림수산업 5
2018,식량작물,맥류,2166.0,4585.0,통계연보 6.농림수산업 5
2018,식량작물,잡곡,3869.0,3747.0,통계연보 6.농림수산업 5
2018,식량작물,두류,3668.0,5286.0,통계연보 6.농림수산업 5
2018,식량작물,서류,2201.0,8450.0,통계연보 6.농림수산업 5
2019,식량작물,식량작물_합계,13632.0,30220.0,통계연보 6.농림수산업 5
2019,식량작물,미곡,45.0,100.0,통계연보 6.농림수산업 5
2019,식량작물,맥류,2562.0,7151.0,통계연보 6.농림수산업 5
2019,식량작물,잡곡,5230.0,11947.0,통계연보 6.농림수산업 5
2019,식량작물,두류,4035.0,4114.0,통계연보 6.농림수산업 5
2019,식량작물,서류,1760.0,6908.0,통계연보 6.농림수산업 5
2020,식량작물,식량작물_합계,13246.0,27213.0,통계연보 6.농림수산업 5
2020,식량작물,미곡,43.0,70.0,통계연보 6.농림수산업 5
2020,식량작물,맥류,2599.0,6257.0,통계연보 6.농림수산업 5
2020,식량작물,잡곡,5247.0,10197.0,통계연보 6.농림수산업 5
2020,식량작물,두류,3725.0,3945.0,통계연보 6.농림수산업 5
2020,식량작물,서류,1633.0,6744.0,통계연보 6.농림수산업 5
2021,식량작물,식량작물_합계,13989.0,25284.0,통계연보 6.농림수산업 5
2021,식량작물,미곡,65.0,189.0,통계연보 6.농림수산업 5
2021,식량작물,맥류,1999.0,4818.0,통계연보 6.농림수산업 5
2021,식량작물,잡곡,5313.0,6493.0,통계연보 6.농림수산업 5
2021,식량작물,두류,4754.0,5738.0,통계연보 6.농림수산업 5
2021,식량작물,서류,1858.0,8046.0,통계연보 6.농림수산업 5
2022,식량작물,식량작물_합계,14904.0,26904.0,통계연보 6.농림수산업 5
2022,식량작물,미곡,70.0,201.0,통계연보 6.농림수산업 5
2022,식량작물,맥류,1967.0,5620.0,통계연보 6.농림수산업 5
2022,식량작물,잡곡,6069.0,7573.0,통계연보 6.농림수산업 5
2022,식량작물,두류,4940.0,6653.0,통계연보 6.농림수산업 5
2022,식량작물,서류,1856.0,6858.0,통계연보 6.농림수산업 5
2023,식량작물,식량작물_합계,13160.0,22173.0,통계연보 6.농림수산업 5
2023,식량작물,미곡,5.0,22.0,통계연보 6.농림수산업 5
2023,식량작물,맥류,1750.0,3901.0,통계연보 6.농림수산업 5
2023,식량작물,잡곡,4849.0,5598.0,통계연보 6.농림수산업 5
2023,식량작물,두류,5270.0,7508.0,통계연보 6.농림수산업 5
2023,식량작물,서류,1286.0,5145.0,통계연보 6.농림수산업 5
2024,식량작물,식량작물_합계,14740.0,23882.0,통계연보 6.농림수산업 5
2024,식량작물,미곡,5.0,19.0,통계연보 6.농림수산업 5
2024,식량작물,맥류,2236.0,4570.0,통계연보 6.농림수산업 5
2024,식량작물,잡곡,6071.0,6033.0,통계연보 6.농림수산업 5
2024,식량작물,두류,4581.0,6045.0,통계연보 6.농림수산업 5
2024,식량작물,서류,1848.0,7215.0,통계연보 6.농림수산업 5
2020,채소류,채소류_합계,14218.0,666288.0,2025 주요행정통계 p.196
2021,채소류,채소류_합계,14338.0,708165.0,2025 주요행정통계 p.196
2022,채소류,채소류_합계,13807.0,641781.0,2025 주요행정통계 p.196
2023,채소류,채소류_합계,13447.0,604303.0,2025 주요행정통계 p.196
2020,채소류,무,5056.0,359575.0,2025 주요행정통계 p.196
2021,채소류,무,5488.0,390476.0,2025 주요행정통계 p.196
2022,채소류,무,5464.0,380294.0,2025 주요행정통계 p.196
2023,채소류,무,5091.0,342470.0,2025 주요행정통계 p.196
2020,채소류,배추,130.0,6287.0,2025 주요행정통계 p.196
2021,채소류,배추,121.0,5909.0,2025 주요행정통계 p.196
2022,채소류,배추,122.0,5124.0,2025 주요행정통계 p.196
2023,채소류,배추,70.0,2833.0,2025 주요행정통계 p.196
2020,채소류,양배추,1753.0,103222.0,2025 주요행정통계 p.196
2021,채소류,양배추,2066.0,126065.0,2025 주요행정통계 p.196
2022,채소류,양배추,1548.0,91103.0,2025 주요행정통계 p.196
2023,채소류,양배추,1622.0,88415.0,2025 주요행정통계 p.196
2020,채소류,당근,1357.0,49527.0,2025 주요행정통계 p.196
2021,채소류,당근,1206.0,50435.0,2025 주요행정통계 p.196
2022,채소류,당근,848.0,28825.0,2025 주요행정통계 p.196
2023,채소류,당근,1245.0,48370.0,2025 주요행정통계 p.196
2020,채소류,마늘,1665.0,27092.0,2025 주요행정통계 p.196
2021,채소류,마늘,1314.0,19772.0,2025 주요행정통계 p.196
2022,채소류,마늘,1275.0,18602.0,2025 주요행정통계 p.196
2023,채소류,마늘,1113.0,11039.0,2025 주요행정통계 p.196
2020,채소류,양파,633.0,40516.0,2025 주요행정통계 p.196
2021,채소류,양파,698.0,43369.0,2025 주요행정통계 p.196
2022,채소류,양파,801.0,46072.0,2025 주요행정통계 p.196
2023,채소류,양파,750.0,38275.0,2025 주요행정통계 p.196
2020,채소류,시설채소,170.0,7316.0,2025 주요행정통계 p.196
2021,채소류,시설채소,170.0,8002.0,2025 주요행정통계 p.196
2022,채소류,시설채소,174.0,7868.0,2025 주요행정통계 p.196
2023,채소류,시설채소,172.0,9264.0,2025 주요행정통계 p.196
