연도,시군,농가수,전업농가,겸업농가,농가인구,농가남자,농가여자
2018,도전체,31208,13399,17809,82751,41140,41610
2019,도전체,31111,13239,17871,83133,42061,41073
2020,도전체,30365,14380,15985,79797,40137,39660
2021,도전체,31549,17339,14210,75548,38434,37114
2022,도전체,30452,16080,14372,74465,37221,37244
2023,도전체,30357,14600,15757,72985,36645,36340
2024,도전체,29125,14815,14310,68696,34579,34117
2024,제주시,16540,6703,9837,40941,20044,20897
2024,서귀포시,12585,8112,4473,27754,14534,13220
