연도,시군,경지면적_합계_ha,논_ha,밭_ha,가구당경지면적_a,과수원_ha,시설재배_ha
2018,도전체,59338.0,17.0,59321.0,190.1,,
2019,도전체,59039.0,17.0,59022.0,189.77,,
2020,도전체,58654.0,17.0,58637.0,193.16,,
2021,도전체,56355.0,14.0,56341.0,178.63,,
2022,도전체,55957.0,12.0,55945.0,183.75,,
2023,도전체,55605.0,12.0,55593.0,183.17,,
2024,도전체,57367.0,12.0,55355.0,196.97,,
2024,제주시,27150.0,,27150.0,164.15,,
2024,서귀포시,28217.0,12.0,28205.0,224.21,,
